2022-04-25 15:10:36.877  INFO 5800 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2022-04-25 15:10:36.990  INFO 5800 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2022-04-25 15:10:37.012  INFO 5800 --- [SpringApplicationShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer : Shutdown ignored - container is already stopped
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息70，优先级：3
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息71，优先级：7
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息72，优先级：2
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息73，优先级：3
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息74，优先级：0
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息75，优先级：9
2022-04-25 15:10:45.167  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息76，优先级：8
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息77，优先级：3
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息78，优先级：4
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息79，优先级：1
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息80，优先级：8
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息81，优先级：9
2022-04-25 15:10:45.168  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息82，优先级：7
2022-04-25 15:10:45.169  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息83，优先级：3
2022-04-25 15:10:45.169  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息84，优先级：0
2022-04-25 15:10:45.169  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息85，优先级：1
2022-04-25 15:10:45.169  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息86，优先级：2
2022-04-25 15:10:45.169  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息87，优先级：6
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息88，优先级：1
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息89，优先级：7
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息90，优先级：4
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息91，优先级：1
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息92，优先级：3
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息93，优先级：7
2022-04-25 15:10:45.170  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息94，优先级：10
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息95，优先级：8
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息96，优先级：5
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息97，优先级：5
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息98，优先级：2
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息99，优先级：5
2022-04-25 15:10:45.171  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息100，优先级：7
2022-04-25 15:12:05.104  INFO 4628 --- [main] m.r.RabbitMqPriorityQueueApplication     : Starting RabbitMqPriorityQueueApplication using Java 16.0.2 on mao with PID 4628 (H:\程序\大三下期\rabbitMQ优先级队列\target\classes started by mao in H:\程序\大三下期\rabbitMQ优先级队列)
2022-04-25 15:12:05.106 DEBUG 4628 --- [main] m.r.RabbitMqPriorityQueueApplication     : Running with Spring Boot v2.6.7, Spring v5.3.19
2022-04-25 15:12:05.107  INFO 4628 --- [main] m.r.RabbitMqPriorityQueueApplication     : The following 1 profile is active: "dev"
2022-04-25 15:12:05.791  INFO 4628 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2022-04-25 15:12:05.797  INFO 4628 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-04-25 15:12:05.797  INFO 4628 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.62]
